run_id,date,representation,prompt_type,clarity,faithfulness,behavior_inference,hallucination_risk,sentence_length,active_rooms,temporal_coverage,movement_density
run_001,,event_level,summary,medium,high,high,low,12.0,2,low,low
run_002,,event_level,analysis,medium,high,medium,low,12.0,1,low,low
run_001,,event_level,summary,medium,high,high,low,12.0,2,low,low
run_002,,event_level,analysis,medium,high,high,low,12.0,2,low,low
run_001,,event_level,summary,medium,high,medium,low,12.0,1,low,low
run_002,,event_level,analysis,medium,high,high,low,12.0,4,low,low
run_001,,event_level,summary,medium,high,medium,low,12.0,1,low,low
run_002,,event_level,analysis,medium,high,medium,low,13.0,1,low,low
run_001,,event_level,summary,medium,high,medium,low,13.0,1,low,low
run_002,,event_level,analysis,medium,high,high,low,12.0,4,low,low
run_001,,event_level,summary,medium,high,high,low,12.0,4,low,low
run_002,,event_level,analysis,medium,high,medium,low,12.0,1,low,low
run_001,,event_level,summary,medium,high,medium,low,13.0,1,low,low
run_002,,event_level,analysis,medium,high,high,low,12.0,4,low,low
run_001,,event_level,summary,medium,high,high,low,12.0,2,low,low
run_002,,event_level,analysis,medium,high,medium,low,12.0,1,low,low
run_001,,event_level,summary,medium,high,high,low,12.0,2,low,low
run_002,,event_level,analysis,medium,high,medium,low,13.0,1,low,low
run_001,,event_level,summary,medium,high,medium,low,13.0,1,low,low
run_002,,event_level,analysis,medium,high,medium,low,13.0,1,low,low
run_001,,event_level,summary,medium,high,high,low,12.0,4,low,low
run_002,,event_level,analysis,medium,high,high,low,12.0,2,low,low
run_001,,event_level,summary,medium,high,high,low,12.0,2,low,low
run_002,,event_level,analysis,medium,high,high,low,12.0,4,low,low
run_001,,event_level,summary,medium,high,medium,low,12.0,1,low,low
run_002,,event_level,analysis,medium,high,medium,low,12.0,1,low,low
run_001,,event_level,summary,medium,high,medium,low,13.0,1,low,low
run_002,,event_level,analysis,medium,high,high,low,12.0,2,low,low
run_001,,event_level,summary,medium,high,high,low,12.0,2,low,low
run_002,,event_level,analysis,medium,high,high,low,12.0,4,low,low
run_001,,event_level,summary,medium,high,high,low,12.0,4,low,low
