run_id,date,representation,prompt_type,clarity,faithfulness,behavior_inference,hallucination_risk,sentence_length,active_rooms,temporal_coverage,movement_density
run_004,,hourly_level,hourly,medium,high,high,low,9.5,2,low,low
run_004,,hourly_level,hourly,medium,high,medium,low,9.5,1,low,low
run_004,,hourly_level,hourly,medium,high,medium,low,9.5,1,low,low
run_004,,hourly_level,hourly,medium,high,medium,low,9.5,1,low,low
run_004,,hourly_level,hourly,medium,high,medium,low,10.0,1,low,low
run_004,,hourly_level,hourly,medium,high,high,low,9.5,2,low,low
run_004,,hourly_level,hourly,medium,high,medium,low,9.5,1,low,low
run_004,,hourly_level,hourly,medium,high,high,low,9.5,4,low,low
run_004,,hourly_level,hourly,medium,high,high,low,9.5,4,low,low
run_004,,hourly_level,hourly,medium,high,medium,low,10.0,1,low,low
run_004,,hourly_level,hourly,medium,high,high,low,9.5,4,low,low
run_004,,hourly_level,hourly,medium,high,medium,low,10.0,1,low,low
run_004,,hourly_level,hourly,medium,high,high,low,9.5,2,low,low
run_004,,hourly_level,hourly,medium,high,high,low,9.5,2,low,low
run_004,,hourly_level,hourly,medium,high,medium,low,10.0,1,low,low
run_004,,hourly_level,hourly,medium,high,medium,low,9.5,1,low,low
run_004,,hourly_level,hourly,medium,high,medium,low,9.5,1,low,low
run_004,,hourly_level,hourly,medium,high,high,low,9.5,2,low,low
run_004,,hourly_level,hourly,medium,high,high,low,9.5,4,low,low
run_004,,hourly_level,hourly,medium,high,high,low,9.5,4,low,low
run_004,,hourly_level,hourly,medium,high,medium,low,9.5,1,low,low
run_004,,hourly_level,hourly,medium,high,medium,low,10.0,1,low,low
run_004,,hourly_level,hourly,medium,high,high,low,9.5,4,low,low
run_004,,hourly_level,hourly,medium,high,medium,low,10.0,1,low,low
run_004,,hourly_level,hourly,medium,high,high,low,9.5,4,low,low
run_004,,hourly_level,hourly,medium,high,medium,low,10.0,1,low,low
run_004,,hourly_level,hourly,medium,high,high,low,9.5,2,low,low
run_004,,hourly_level,hourly,medium,high,medium,low,10.0,1,low,low
run_004,,hourly_level,hourly,medium,high,high,low,9.5,4,low,low
run_004,,hourly_level,hourly,medium,high,high,low,9.5,4,low,low
run_004,,hourly_level,hourly,medium,high,high,low,9.5,4,low,low
run_004,,hourly_level,hourly,medium,high,medium,low,10.0,1,low,low
run_004,,hourly_level,hourly,medium,high,medium,low,9.5,1,low,low
run_004,,hourly_level,hourly,medium,high,medium,low,9.5,1,low,low
run_004,,hourly_level,hourly,medium,high,medium,low,9.5,1,low,low
run_004,,hourly_level,hourly,medium,high,medium,low,10.0,1,low,low
run_004,,hourly_level,hourly,medium,high,medium,low,9.5,1,low,low
run_004,,hourly_level,hourly,medium,high,medium,low,9.5,1,low,low
run_004,,hourly_level,hourly,medium,high,medium,low,9.5,1,low,low
run_004,,hourly_level,hourly,medium,high,medium,low,9.5,1,low,low
run_004,,hourly_level,hourly,medium,high,high,low,9.5,2,low,low
run_004,,hourly_level,hourly,medium,high,medium,low,9.5,1,low,low
run_004,,hourly_level,hourly,medium,high,medium,low,10.0,1,low,low
run_004,,hourly_level,hourly,medium,high,medium,low,10.0,1,low,low
run_004,,hourly_level,hourly,medium,high,high,low,9.5,4,low,low
run_004,,hourly_level,hourly,medium,high,high,low,9.5,2,low,low
run_004,,hourly_level,hourly,medium,high,medium,low,10.0,1,low,low
run_004,,hourly_level,hourly,medium,high,high,low,9.5,2,low,low
run_004,,hourly_level,hourly,medium,high,high,low,9.5,4,low,low
run_004,,hourly_level,hourly,medium,high,medium,low,10.0,1,low,low
run_004,,hourly_level,hourly,medium,high,high,low,9.5,2,low,low
run_004,,hourly_level,hourly,medium,high,medium,low,10.0,1,low,low
run_004,,hourly_level,hourly,medium,high,medium,low,9.5,1,low,low
run_004,,hourly_level,hourly,medium,high,medium,low,9.5,1,low,low
run_004,,hourly_level,hourly,medium,high,high,low,9.5,2,low,low
run_004,,hourly_level,hourly,medium,high,medium,low,9.5,1,low,low
run_004,,hourly_level,hourly,medium,high,high,low,9.5,4,low,low
run_004,,hourly_level,hourly,medium,high,medium,low,9.5,1,low,low
run_004,,hourly_level,hourly,medium,high,medium,low,9.5,1,low,low
run_004,,hourly_level,hourly,medium,high,high,low,9.5,2,low,low
run_004,,hourly_level,hourly,medium,high,medium,low,10.0,1,low,low
run_004,,hourly_level,hourly,medium,high,high,low,9.5,2,low,low
run_004,,hourly_level,hourly,medium,high,high,low,9.5,2,low,low
run_004,,hourly_level,hourly,medium,high,medium,low,9.5,1,low,low
run_004,,hourly_level,hourly,medium,high,medium,low,9.5,1,low,low
