run_id,date,representation,prompt_type,clarity,faithfulness,behavior_inference,hallucination_risk,sentence_length,active_rooms,temporal_coverage,movement_density
run_003,,minute_level,aggregated,medium,high,high,low,12.0,2,low,low
run_003,,minute_level,aggregated,medium,high,high,low,12.0,2,low,low
run_003,,minute_level,aggregated,medium,high,high,low,12.0,4,low,low
run_003,,minute_level,aggregated,medium,high,medium,low,13.0,1,low,low
run_003,,minute_level,aggregated,medium,high,high,low,12.0,2,low,low
run_003,,minute_level,aggregated,medium,high,medium,low,12.0,1,low,low
run_003,,minute_level,aggregated,medium,high,high,low,12.0,4,low,low
run_003,,minute_level,aggregated,medium,high,high,low,12.0,2,low,low
run_003,,minute_level,aggregated,medium,high,high,low,12.0,4,low,low
run_003,,minute_level,aggregated,medium,high,medium,low,13.0,1,low,low
run_003,,minute_level,aggregated,medium,high,medium,low,13.0,1,low,low
run_003,,minute_level,aggregated,medium,high,high,low,12.0,2,low,low
run_003,,minute_level,aggregated,medium,high,medium,low,12.0,1,low,low
run_003,,minute_level,aggregated,medium,high,medium,low,13.0,1,low,low
run_003,,minute_level,aggregated,medium,high,high,low,12.0,2,low,low
run_003,,minute_level,aggregated,medium,high,medium,low,13.0,1,low,low
run_003,,minute_level,aggregated,medium,high,medium,low,13.0,1,low,low
run_003,,minute_level,aggregated,medium,high,medium,low,12.0,1,low,low
run_003,,minute_level,aggregated,medium,high,high,low,12.0,4,low,low
run_003,,minute_level,aggregated,medium,high,medium,low,13.0,1,low,low
run_003,,minute_level,aggregated,medium,high,medium,low,13.0,1,low,low
run_003,,minute_level,aggregated,medium,high,medium,low,13.0,1,low,low
run_003,,minute_level,aggregated,medium,high,medium,low,13.0,1,low,low
run_003,,minute_level,aggregated,medium,high,medium,low,13.0,1,low,low
run_003,,minute_level,aggregated,medium,high,medium,low,12.0,1,low,low
run_003,,minute_level,aggregated,medium,high,high,low,12.0,4,low,low
run_003,,minute_level,aggregated,medium,high,high,low,12.0,2,low,low
run_003,,minute_level,aggregated,medium,high,high,low,12.0,2,low,low
run_003,,minute_level,aggregated,medium,high,high,low,12.0,2,low,low
run_003,,minute_level,aggregated,medium,high,high,low,12.0,4,low,low
run_003,,minute_level,aggregated,medium,high,medium,low,13.0,1,low,low
run_003,,minute_level,aggregated,medium,high,high,low,12.0,4,low,low
run_003,,minute_level,aggregated,medium,high,medium,low,12.0,1,low,low
run_003,,minute_level,aggregated,medium,high,high,low,12.0,2,low,low
run_003,,minute_level,aggregated,medium,high,medium,low,12.0,1,low,low
run_003,,minute_level,aggregated,medium,high,medium,low,12.0,1,low,low
run_003,,minute_level,aggregated,medium,high,medium,low,12.0,1,low,low
run_003,,minute_level,aggregated,medium,high,high,low,12.0,4,low,low
run_003,,minute_level,aggregated,medium,high,medium,low,12.0,1,low,low
run_003,,minute_level,aggregated,medium,high,medium,low,13.0,1,low,low
run_003,,minute_level,aggregated,medium,high,medium,low,13.0,1,low,low
run_003,,minute_level,aggregated,medium,high,medium,low,12.0,1,low,low
run_003,,minute_level,aggregated,medium,high,high,low,12.0,4,low,low
run_003,,minute_level,aggregated,medium,high,medium,low,13.0,1,low,low
run_003,,minute_level,aggregated,medium,high,medium,low,13.0,1,low,low
run_003,,minute_level,aggregated,medium,high,high,low,12.0,4,low,low
run_003,,minute_level,aggregated,medium,high,medium,low,12.0,1,low,low
run_003,,minute_level,aggregated,medium,high,medium,low,12.0,1,low,low
run_003,,minute_level,aggregated,medium,high,high,low,12.0,4,low,low
run_003,,minute_level,aggregated,medium,high,high,low,12.0,2,low,low
run_003,,minute_level,aggregated,medium,high,medium,low,13.0,1,low,low
run_003,,minute_level,aggregated,medium,high,medium,low,13.0,1,low,low
run_003,,minute_level,aggregated,medium,high,medium,low,12.0,1,low,low
run_003,,minute_level,aggregated,medium,high,medium,low,12.0,1,low,low
run_003,,minute_level,aggregated,medium,high,medium,low,13.0,1,low,low
run_003,,minute_level,aggregated,medium,high,medium,low,12.0,1,low,low
run_003,,minute_level,aggregated,medium,high,medium,low,13.0,1,low,low
run_003,,minute_level,aggregated,medium,high,high,low,12.0,4,low,low
run_003,,minute_level,aggregated,medium,high,medium,low,13.0,1,low,low
run_003,,minute_level,aggregated,medium,high,medium,low,13.0,1,low,low
run_003,,minute_level,aggregated,medium,high,high,low,12.0,2,low,low
run_003,,minute_level,aggregated,medium,high,high,low,12.0,4,low,low
run_003,,minute_level,aggregated,medium,high,high,low,12.0,2,low,low
run_003,,minute_level,aggregated,medium,high,medium,low,13.0,1,low,low
run_003,,minute_level,aggregated,medium,high,medium,low,13.0,1,low,low
